namespace,table_name
aptos,blocks
aptos,events
aptos,move_modules
aptos,move_resources
aptos,move_table_items
aptos,signatures
aptos,transactions
aptos,user_transactions
aragon_app_polygon,DAORegistry_evt_DAORegistered
aragon_ethereum,DAOFactory_evt_DeployDAO
aragon_polygon,dao_factory_evt_DeployDAO
arbitrum,blocks
arbitrum,contracts
arbitrum,creation_traces # Added from original file
arbitrum,logs
arbitrum,logs_decoded
arbitrum,signatures
arbitrum,traces
arbitrum,traces_decoded
arbitrum,transactions
arbitrum_arbitrum,TokenDistributor_evt_HasClaimed
arbitrum_eas_arbitrum,EAS_call_attest
arbitrum_eas_arbitrum,EAS_evt_Attested
arbitrum_eas_arbitrum,EAS_evt_Revoked
arbitrum_eas_arbitrum,SchemaRegistry_call_register
arbitrum_eas_arbitrum,SchemaRegistry_evt_Registered
arbitrum_ethereum,SequencerInbox_call_addSequencerL2Batch
arbitrum_ethereum,SequencerInbox_call_addSequencerL2BatchFromOrigin
arbitrum_ethereum,SequencerInbox_call_addSequencerL2BatchFromOriginWithGasRefunder
arbitrum_ethereum,SequencerInbox_evt_SequencerBatchDeliveredFromOrigin
arbitrum_ethereum,l1erc20gateway_evt_depositinitiated
arbitrum_ethereum,l1erc20gateway_evt_withdrawalfinalized
arbswap_arbitrum,ArbswapStableSwapFactory_evt_NewStableSwapPair
arbswap_arbitrum,ArbswapStableSwapTwoPool_evt_TokenExchange
arbswap_arbitrum,SwapFactory_evt_PairCreated
arbswap_arbitrum,SwapPair_evt_Swap
archipelago_ethereum,ArchipelagoMarket_evt_RoyaltyPayment
archipelago_ethereum,ArchipelagoMarket_evt_TokenTrade
archipelago_ethereum,ArchipelagoMarket_evt_Trade
arkham_ethereum,Airdrop_evt_Claimed
arrakis_finance_ethereum,ArrakisV2Factory_evt_VaultCreated
arrakis_optimism,ArrakisFactoryV1_evt_PoolCreated
astaria_v1_ethereum,AstariaRouter_evt_Liquidation
astaria_v1_ethereum,CollateralToken_evt_Deposit721
astaria_v1_ethereum,CollateralToken_evt_ReleaseTo
astaria_v1_ethereum,LienToken_call_createLien
astaria_v1_ethereum,LienToken_call_makePayment
astaria_v1_ethereum,LienToken_evt_NewLien
astaria_v1_ethereum,LienToken_evt_Payment
attestationstation_optimism,AttestationStation_evt_AttestationCreated
attestationstation_v1_base,EAS_call_attest
attestationstation_v1_base,EAS_evt_Attested
attestationstation_v1_base,EAS_evt_Revoked
attestationstation_v1_base,SchemaRegistry_call_register
attestationstation_v1_base,SchemaRegistry_evt_Registered
attestationstation_v1_linea,EAS_call_attest
attestationstation_v1_linea,EAS_evt_Attested
attestationstation_v1_linea,EAS_evt_Revoked
attestationstation_v1_optimism,EAS_call_attest
attestationstation_v1_optimism,EAS_evt_Attested
attestationstation_v1_optimism,EAS_evt_Revoked
attestationstation_v1_optimism,SchemaRegistry_call_register
attestationstation_v1_optimism,SchemaRegistry_evt_Registered
attestationstation_v1_zksync,EAS_call_attest
attestationstation_v1_zksync,EAS_evt_Attested
attestationstation_v1_zksync,EAS_evt_Revoked
attestationstation_v1_zksync,SchemaRegistry_call_register
attestationstation_v1_zksync,SchemaRegistry_evt_Registered
auragi_arbitrum,PairFactory_evt_PairCreated
auragi_arbitrum,Pair_evt_Swap
aurem_polygon,Exchange_evt_OrderFilled
autotronic_base,AutotronicFactory_evt_PairCreated
autotronic_base,AutotronicPair_evt_Swap
avalanche_c,blocks
avalanche_c,contracts
avalanche_c,creation_traces # Added from original file
avalanche_c,logs
avalanche_c,logs_decoded
avalanche_c,signatures
avalanche_c,traces
avalanche_c,traces_decoded
avalanche_c,transactions
